"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","4:56","4:56","0.64","7:39","7:23","108","127","12","2","152","293","0.86","7.7","9.0","283","258","3.22","359","4.48","46","6:23","174","4:53","7:34"
"","1","Corsa","2 - 6","30:00","34:56","4.38","6:51","6:54","159","171","13","29","168","280","0.87","8.2","9.4","275","273","3.40","344","4.29","356","6:12","181","30:00","6:51"
"","","Corsa","2","6:48","11:46","1.00","6:47","6:55","134","162","9","19","167","281","0.88","8.2","9.4","281","275","3.43","344","4.29","75","6:12","181","6:48","6:47"
"","","Corsa","3","6:41","18:27","1.00","6:41","6:44","165","166","1","9","168","278","0.90","8.3","9.2","276","275","3.43","301","3.75","83","6:12","172","6:41","6:42"
"","","Corsa","4","6:49","25:16","1.00","6:49","6:51","167","168","4","3","169","280","0.87","8.1","9.4","276","276","3.44","312","3.89","83","6:21","177","6:49","6:49"
"","","Corsa","5","7:02","32:18","1.00","7:02","7:03","167","171","4","6","169","281","0.85","8.0","9.5","267","266","3.32","296","3.69","83","6:46","174","7:02","7:02"
"","","Corsa","6","2:41","34:59","0.38","7:02","6:58","168","170","3","1","168","282","0.85","8.1","9.5","275","275","3.43","304","3.79","32","6:49","171","2:41","7:03"
"","2","Corsa","7 - 8","9:59","44:55","1.66","6:02","6:02","174","179","4","4","173","265","0.95","8.2","8.6","308","309","3.85","357","4.45","145","5:30","186","9:59","6:02"
"","","Corsa","7","5:58","40:57","1.00","5:58","5:58","174","179","4","5","174","263","0.96","8.2","8.5","310","310","3.87","357","4.45","86","5:30","186","5:58","5:57"
"","","Corsa","8","4:02","44:59","0.66","6:08","6:07","174","177","3","1","172","268","0.95","8.3","8.7","305","306","3.82","347","4.33","60","5:46","181","4:02","6:08"
"","","Defaticamento","9 - 10","5:02","49:57","0.70","7:09","7:01","171","176","3","1","162","284","0.88","8.1","9.3","270","264","3.29","321","4.00","62","6:16","170","5:02","7:10"
"","","Defaticamento","9","4:59","49:58","0.70","7:11","7:01","171","176","4","2","162","284","0.88","8.1","9.3","270","263","3.28","321","4.00","61","6:16","170","4:59","7:09"
"","","Defaticamento","10","0:03","50:01","0.01","4:24","6:51","172","173","--","--","167","283","0.85","8.1","9.5","288","292","3.64","293","3.65","1","7:02","168","0:03","8:26"
"","Riepilogo","--","--","50:01","50:01","7.39","6:46","6:45","158","179","44","47","167","278","0.89","8.1","9.2","283","278","3.46","359","4.48","610","5:30","186","49:58","6:46"
