"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.50","9:58","9:58","81","124","5","4","119","314","0.80","6.3","7.9","160","144","1.95","239","3.23","30","23.0","7:27","176","4:51","9:41"
"","1","Corsa","2 - 4","20:00","25:00","2.80","7:08","7:12","148","159","3","17","167","285","0.84","8.2","9.7","246","245","3.31","282","3.81","203","16.0","6:40","172","20:00","7:08"
"","","Corsa","2","7:06.1","12:06","1.00","7:06","7:05","145","151","1","1","166","283","0.84","8.1","9.6","252","252","3.41","282","3.81","73","18.0","6:40","172","7:06.1","7:06"
"","","Corsa","3","7:05.7","19:12","1.00","7:06","7:15","147","151","1","11","167","285","0.85","8.2","9.7","242","241","3.26","273","3.69","72","15.0","6:44","171","7:05.7","7:06"
"","","Corsa","4","5:48.2","25:00","0.80","7:14","7:16","153","159","1","5","165","287","0.84","8.2","9.7","242","241","3.26","262","3.54","58","14.0","7:02","169","5:48","7:14"
"","2","Corsa","5 - 6","10:00","35:00","1.40","7:09","7:08","153","157","4","1","166","286","0.84","8.2","9.7","247","247","3.34","290","3.92","102","14.0","6:41","181","9:59","7:08"
"","","Corsa","5","7:11.6","32:12","1.00","7:12","7:10","153","157","4","1","166","286","0.84","8.2","9.7","247","247","3.34","290","3.92","73","14.0","6:57","170","7:11","7:11"
"","","Corsa","6","2:48.4","35:00","0.40","7:01","7:05","153","155","0","0","167","284","0.84","8.1","9.6","245","246","3.32","263","3.55","29","15.0","6:41","181","2:48.4","7:01"
"","","Defaticamento","7 - 8","5:12.0","40:12","0.57","9:08","8:43","140","162","6","0","132","278","0.83","6.9","8.4","229","181","2.45","308","4.16","42","14.0","6:38","179","5:11","9:06"
"","","Defaticamento","7","5:00","40:00","0.55","9:04","8:37","141","162","6","0","133","278","0.83","7.0","8.5","232","184","2.49","308","4.16","41","14.0","6:38","179","4:59","9:02"
"","","Defaticamento","8","0:12.0","40:12","0.02","11:11","12:02","115","116","0","0","106","--","0.78","5.9","7.5","97","107","1.45","116","1.57","1","14.0","11:54","107","0:12","11:11"
"","Riepilogo","--","--","40:12","40:12","5.27","7:37","7:36","140","162","19","22","156","286","0.84","7.8","9.3","238","225","3.04","308","4.16","377","16.1","6:38","181","40:03","7:36"
