"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","16:56","16:56","3.00","5:39","5:42","150","164","4","18","171","257","50.6% S / 49.4% D","1.05","9.7","9.1","292","287","Nessun peso","356","Nessun peso","205","24.0","4:47","187","16:39","5:33"
"","","Riscaldamento","1","5:59.8","5:59.8","1.00","6:00","6:02","138","151","0","6","165","260","50.7% S / 49.3% D","1.04","9.7","9.4","281","273","Nessun peso","356","Nessun peso","68","25.0","4:47","176","5:45","5:45"
"","","Riscaldamento","2","5:22.4","11:22","1.00","5:22","5:29","156","164","3","8","174","255","50.5% S / 49.5% D","1.07","9.9","9.0","301","302","Nessun peso","354","Nessun peso","68","24.0","5:01","182","5:22.4","5:22"
"","","Riscaldamento","3","5:33.5","16:56","1.00","5:34","5:33","157","163","1","4","174","256","50.7% S / 49.3% D","1.04","9.5","9.0","291","289","Nessun peso","334","Nessun peso","69","22.0","5:06","187","5:33","5:33"
"","1","Corsa","4 - 10","34:26","51:21","7.00","4:55","4:54","171","177","13","14","180","232","50.9% S / 49.1% D","1.12","8.5","7.5","338","320","Nessun peso","467","Nessun peso","480","20.0","4:01","194","34:25","4:55"
"","","Corsa","4","4:31.9","21:28","1.00","4:32","4:29","169","173","6","1","190","230","50.7% S / 49.3% D","1.16","8.6","7.2","356","356","Nessun peso","467","Nessun peso","64","21.0","4:25","193","4:31.9","4:32"
"","","Corsa","5","4:27.0","25:55","1.00","4:27","4:31","174","176","0","6","190","228","50.9% S / 49.1% D","1.18","8.8","7.2","344","344","Nessun peso","370","Nessun peso","65","20.0","4:22","192","4:27.0","4:27"
"","","Corsa","6","4:30.5","30:25","1.00","4:30","4:32","176","177","0","3","189","228","51.0% S / 49.0% D","1.17","9.0","7.4","343","343","Nessun peso","380","Nessun peso","66","20.0","4:23","193","4:30.5","4:31"
"","","Corsa","7","5:07.4","35:32","1.00","5:07","5:04","171","176","0","0","176","240","51.0% S / 49.0% D","1.10","8.5","7.6","330","308","Nessun peso","423","Nessun peso","71","20.0","4:02","194","5:07","5:07"
"","","Corsa","8","5:10.4","40:43","1.00","5:10","5:08","170","177","3","1","174","238","50.9% S / 49.1% D","1.10","8.4","7.6","337","308","Nessun peso","429","Nessun peso","71","20.0","4:01","192","5:10","5:10"
"","","Corsa","9","5:15.0","45:58","1.00","5:15","5:13","169","176","2","0","173","230","50.9% S / 49.1% D","1.09","8.2","7.4","333","301","Nessun peso","410","Nessun peso","72","21.0","4:21","192","5:15.0","5:15"
"","","Corsa","10","5:23.5","51:21","1.00","5:23","5:23","168","176","1","3","170","234","51.1% S / 48.9% D","1.07","8.4","7.6","324","292","Nessun peso","439","Nessun peso","71","21.0","4:07","193","5:23","5:23"
"","","Defaticamento","11 - 14","20:38","1:12:00","3.51","5:53","5:49","162","175","20","4","169","263","50.8% S / 49.2% D","1.00","9.4","9.3","303","293","Nessun peso","385","Nessun peso","251","22.0","4:35","192","20:37","5:53"
"","","Defaticamento","11","6:08.4","57:30","1.00","6:08","6:09","161","175","1","2","161","270","50.7% S / 49.3% D","0.98","8.8","8.8","295","264","Nessun peso","385","Nessun peso","72","22.0","4:35","192","6:08","6:08"
"","","Defaticamento","12","5:40.2","1:03:10","1.00","5:40","5:39","162","165","5","2","174","257","50.8% S / 49.2% D","1.02","9.7","9.3","305","306","Nessun peso","341","Nessun peso","71","22.0","5:28","176","5:40.2","5:40"
"","","Defaticamento","13","5:55.1","1:09:05","1.00","5:55","5:48","161","164","8","0","171","263","50.9% S / 49.1% D","1.00","9.8","9.6","299","299","Nessun peso","350","Nessun peso","73","22.0","5:31","175","5:55","5:55"
"","","Defaticamento","14","2:54.7","1:12:00","0.51","5:46","5:33","163","166","6","0","172","260","50.9% S / 49.1% D","1.02","9.7","9.3","320","320","Nessun peso","370","Nessun peso","36","22.0","5:30","175","2:53","5:42"
"","Riepilogo","--","--","1:12:00","1:12:00","13.51","5:20","5:19","163","177","36","37","174","247","50.8% S / 49.2% D","1.07","9.1","8.4","319","305","Nessun peso","467","Nessun peso","937","21.7","4:01","194","1:11:41","5:18"
