"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:17.5","6:17.5","1.00","6:18","6:21","137","148","2","3","273","3.96","301","4.36","170","275","50.5% S / 49.5% D","0.92","9.0","9.6","69","25.0","5:55","178","6:17.5","6:17","--","--"
"2","6:25.0","12:42","1.00","6:25","6:28","145","149","0","7","262","3.80","309","4.48","171","277","50.4% S / 49.6% D","0.92","8.7","9.3","71","22.0","6:01","174","6:25.0","6:25","--","--"
"3","6:23.1","19:06","1.00","6:23","6:26","144","148","4","7","260","3.77","352","5.10","170","279","50.4% S / 49.6% D","0.92","8.7","9.2","69","21.0","6:11","174","6:23","6:23","--","--"
"4","6:49.3","25:55","1.00","6:49","6:53","142","150","4","10","247","3.58","374","5.42","168","284","50.4% S / 49.6% D","0.87","8.8","9.9","68","19.0","6:30","171","6:49","6:49","--","--"
"5","6:37.7","32:32","1.00","6:38","6:43","146","149","0","7","244","3.54","258","3.74","171","276","50.4% S / 49.6% D","0.88","8.6","9.6","70","19.0","6:28","174","6:37.7","6:38","--","--"
"6","6:48.7","39:21","1.00","6:49","6:38","149","155","12","8","259","3.75","371","5.38","163","282","50.5% S / 49.5% D","0.92","8.6","9.2","75","17.0","5:24","197","6:31","6:31","--","--"
"7","5:31.2","44:52","1.00","5:31","5:28","161","162","9","0","319","4.62","392","5.68","179","257","50.5% S / 49.5% D","1.00","8.6","8.4","70","17.0","5:21","182","5:31.2","5:31","--","--"
"8","5:20.4","50:13","1.00","5:20","5:22","161","162","0","2","313","4.54","349","5.06","180","253","50.5% S / 49.5% D","1.04","8.8","8.2","68","16.0","4:54","182","5:20","5:20","--","--"
"9","5:24.3","55:37","1.00","5:24","5:24","162","164","4","5","317","4.59","381","5.52","180","250","50.8% S / 49.2% D","1.03","9.1","8.6","69","16.0","5:04","182","5:24","5:24","--","--"
"10","5:19.4","1:00:57","1.00","5:19","5:19","163","164","0","2","320","4.64","377","5.46","180","249","50.4% S / 49.6% D","1.05","9.2","8.5","68","15.0","5:12","184","5:19.4","5:19","--","--"
"11","5:18.0","1:06:14","1.00","5:18","5:17","164","168","7","1","326","4.72","377","5.46","179","251","50.6% S / 49.4% D","1.05","9.1","8.4","69","16.0","4:54","182","5:18.0","5:18","--","--"
"12","1:36.1","1:07:51","0.23","6:50","6:18","158","164","5","0","291","4.22","359","5.20","167","282","50.5% S / 49.5% D","0.92","9.2","9.8","18","16.0","5:12","180","1:35","6:45","--","--"
"Riepilogo","1:07:51","1:07:51","11.23","6:02","6:02","151","168","46","53","283","4.10","392","5.68","173","268","50.5% S / 49.5% D","0.96","8.8","9.1","783","18.6","4:54","197","1:07:31","6:01","--","--"
