"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","1","Corsa","1 - 20","2:08:45","2:08:45","20.00","6:26","6:26","143","151","68","66","173","265","50.7% S / 49.3% D","0.90","8.5","9.2","263","261","3.78","375","5.43","1,358","15.0","5:11","185","2:07:54","6:24"
"","","Corsa","1","6:40.8","6:40.8","1.00","6:41","6:33","132","142","12","1","174","266","50.9% S / 49.1% D","0.86","8.4","9.6","272","269","3.90","343","4.97","70","22.0","5:46","178","6:40.8","6:41"
"","","Corsa","2","6:22.8","13:04","1.00","6:23","6:27","142","146","1","4","176","265","50.9% S / 49.1% D","0.89","8.2","9.0","262","263","3.81","297","4.30","70","18.0","6:11","178","6:22.8","6:23"
"","","Corsa","3","6:19.5","19:23","1.00","6:20","6:23","144","148","0","7","175","263","50.9% S / 49.1% D","0.90","8.4","9.1","266","265","3.84","302","4.38","69","16.0","5:58","182","6:19","6:19"
"","","Corsa","4","6:23.6","25:47","1.00","6:24","6:26","144","150","2","4","175","264","50.9% S / 49.1% D","0.89","8.3","9.1","262","261","3.78","373","5.41","69","14.0","6:13","178","6:23.6","6:24"
"","","Corsa","5","6:19.0","32:06","1.00","6:19","6:20","144","147","1","3","175","264","50.9% S / 49.1% D","0.91","8.4","9.0","261","261","3.78","277","4.01","69","14.0","6:12","179","6:19","6:19"
"","","Corsa","6","6:25.9","38:32","1.00","6:26","6:27","145","147","1","3","173","263","50.7% S / 49.3% D","0.90","8.7","9.4","262","261","3.78","287","4.16","69","14.0","6:15","176","6:25.9","6:26"
"","","Corsa","7","6:23.4","44:55","1.00","6:23","6:27","145","148","0","5","175","262","50.7% S / 49.3% D","0.90","8.4","9.2","255","254","3.68","300","4.35","68","14.0","5:27","179","6:23","6:23"
"","","Corsa","8","6:47.8","51:43","1.00","6:48","6:44","142","150","4","2","166","265","50.7% S / 49.3% D","0.89","8.3","9.1","257","247","3.58","323","4.68","70","14.0","5:47","180","6:28","6:28"
"","","Corsa","9","6:23.8","58:07","1.00","6:24","6:27","143","146","2","6","175","261","50.7% S / 49.3% D","0.89","8.4","9.3","256","256","3.71","296","4.29","66","14.0","6:05","177","6:23.8","6:24"
"","","Corsa","10","6:27.0","1:04:34","1.00","6:27","6:26","144","148","6","5","174","262","50.7% S / 49.3% D","0.89","8.6","9.4","264","264","3.83","345","5.00","68","14.0","5:11","185","6:27.0","6:27"
"","","Corsa","11","6:38.3","1:11:12","1.00","6:38","6:34","143","151","2","4","168","265","50.7% S / 49.3% D","0.91","8.4","9.1","259","252","3.65","341","4.94","68","14.0","5:17","179","6:25","6:25"
