"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Potenza media","W/kg medio","Potenza max","W/kg massimo","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento","Perdita velocità di passo media","Percentuale perdita velocità di passo media"
"1","5:58.6","5:58.6","1.00","5:59","6:00","140","150","9","3","320","4.64","388","5.62","165","281","50.3% S / 49.7% D","1.01","9.9","9.6","69","24.0","5:19","171","5:58","5:58","--","--"
"2","5:54.8","11:53","1.00","5:55","6:00","153","157","2","14","320","4.64","364","5.28","164","282","50.2% S / 49.8% D","1.03","10.1","9.6","71","21.0","5:45","167","5:54","5:54","--","--"
"3","5:44.0","17:37","1.00","5:44","5:54","155","159","5","18","300","4.35","392","5.68","164","282","50.2% S / 49.8% D","1.06","10.2","9.4","70","20.0","5:15","166","5:44","5:44","--","--"
"4","5:44.8","23:22","1.00","5:45","5:43","156","160","8","9","307","4.45","490","7.10","165","279","50.4% S / 49.6% D","1.05","10.0","9.4","70","19.0","5:28","169","5:44.8","5:45","--","--"
"5","5:35.5","28:58","1.00","5:35","5:36","161","166","1","6","322","4.67","381","5.52","166","273","50.3% S / 49.7% D","1.08","10.4","9.4","71","18.0","5:06","171","5:35.5","5:36","--","--"
"6","5:38.3","34:36","1.00","5:38","5:35","162","164","6","0","329","4.77","427","6.19","167","272","50.2% S / 49.8% D","1.06","10.2","9.4","72","17.0","4:50","172","5:38","5:38","--","--"
"7","5:37.6","40:13","1.00","5:38","5:35","162","166","7","0","321","4.65","405","5.87","168","271","50.4% S / 49.6% D","1.06","10.2","9.4","72","17.0","5:23","170","5:37.6","5:38","--","--"
"8","5:39.7","45:53","1.00","5:40","5:33","162","165","7","1","335","4.86","403","5.84","167","273","50.3% S / 49.7% D","1.06","10.1","9.3","72","16.0","5:27","171","5:39","5:39","--","--"
"9","5:45.9","51:39","1.00","5:46","5:40","163","167","6","0","310","4.49","373","5.41","167","273","50.3% S / 49.7% D","1.05","10.2","9.6","74","16.0","5:31","171","4:59","4:59","--","--"
"Riepilogo","58:30","58:30","10.20","5:44","5:44","157","167","50","50","318","4.61","490","7.10","166","277","50.3% S / 49.7% D","1.05","10.1","9.4","630","18.7","4:50","172","50:50","4:59","--","--"
