"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","11:42","11:42","5.00","25.6","122","139","17","5","100","31.0","11:42","25.6"
"2","11:32","23:14","5.00","26.0","133","150","21","22","109","35.6","11:32","26.0"
"3","11:27","34:41","5.00","26.2","133","145","14","12","101","33.3","11:27","26.2"
"4","13:26","48:07","5.00","22.3","127","145","24","27","93","34.9","12:37","23.8"
"5","11:30","59:37","5.00","26.1","133","145","10","15","90","34.5","11:29","26.1"
"6","14:12","1:13:48","5.00","21.1","123","138","7","6","72","28.5","13:57","21.5"
"7","12:10","1:25:58","5.00","24.7","138","146","41","3","112","32.2","12:09","24.7"
"8","12:24","1:38:22","5.00","24.2","131","150","44","66","88","50.5","12:24","24.2"
"9","12:12","1:50:34","5.00","24.6","130","144","7","31","83","40.6","12:12","24.6"
"10","12:04","2:02:38","5.00","24.9","133","145","12","5","80","31.8","12:03","24.9"
"11","0:46.6","2:03:24","0.25","19.1","135","138","1","1","6","26.7","0:46","19.4"
"Riepilogo","2:03:24","2:03:24","50.25","24.4","130","150","197","194","933","50.5","2:02:18","24.7"
