"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:37.5","6:37.5","1.00","6:37","6:32","130","139","7","0","267","3.87","332","4.81","171","276","50.5% S / 49.5% D","0.89","8.6","9.6","69","24.0","5:55","180","6:37","6:37","--","--"
"2","6:28.2","13:06","1.00","6:28","6:36","141","145","0","8","252","3.65","308","4.46","173","276","50.5% S / 49.5% D","0.89","8.4","9.2","70","20.0","5:41","177","6:28","6:28","--","--"
"3","6:24.2","19:30","1.00","6:24","6:31","142","145","1","9","249","3.61","278","4.03","175","273","50.6% S / 49.4% D","0.89","8.2","8.9","69","18.0","6:10","178","6:24","6:24","--","--"
"4","6:39.2","26:09","1.00","6:39","6:33","140","148","9","1","256","3.71","357","5.17","174","278","50.3% S / 49.7% D","0.87","8.0","9.1","71","17.0","6:11","177","6:39.2","6:39","--","--"
"5","6:23.3","32:32","1.00","6:23","6:23","143","148","3","3","257","3.72","274","3.97","175","273","50.3% S / 49.7% D","0.89","8.1","8.9","69","15.0","6:13","179","6:23","6:23","--","--"
"6","6:10.3","38:43","1.00","6:10","6:25","143","146","1","23","244","3.54","300","4.35","176","266","50.1% S / 49.9% D","0.92","8.2","8.8","66","15.0","5:49","189","6:10","6:10","--","--"
"7","6:34.7","45:17","1.00","6:35","6:27","144","150","9","0","253","3.67","317","4.59","172","276","50.1% S / 49.9% D","0.88","8.1","9.1","71","15.0","5:55","179","6:34.7","6:35","--","--"
"8","6:21.1","51:38","1.00","6:21","6:15","146","148","6","0","259","3.75","318","4.61","176","267","50.2% S / 49.8% D","0.89","8.1","8.9","70","15.0","5:23","180","6:21","6:21","--","--"
"9","6:37.9","58:16","1.00","6:38","6:33","145","148","6","0","253","3.67","285","4.13","175","271","50.3% S / 49.8% D","0.86","8.1","9.2","70","13.0","6:23","178","6:37.9","6:38","--","--"
"10","6:28.9","1:04:45","1.00","6:29","6:31","144","147","0","4","252","3.65","299","4.33","174","270","50.1% S / 49.9% D","0.89","8.3","9.2","68","13.0","5:51","185","6:28.9","6:29","--","--"
"11","6:32.1","1:11:17","1.00","6:32","6:31","145","147","0","1","256","3.71","286","4.14","174","273","50.2% S / 49.8% D","0.89","8.3","9.1","68","14.0","6:07","176","6:32","6:32","--","--"
"12","6:44.3","1:18:02","1.00","6:44","6:34","146","150","10","0","260","3.77","338","4.90","171","279","50.2% S / 49.8% D","0.88","8.3","9.4","70","14.0","5:48","178","6:44","6:44","--","--"
"13","0:38.5","1:18:40","0.10","6:35","6:13","150","153","3","0","297","4.30","316","4.58","173","275","50.1% S / 49.9% D","0.88","8.4","9.3","7","14.0","6:26","176","0:38","6:29","--","--"
"Riepilogo","1:18:40","1:18:40","12.10","6:30","6:29","143","153","55","50","255","3.70","357","5.17","174","273","50.3% S / 49.7% D","0.89","8.2","9.1","838","16.1","5:23","189","1:18:38","6:30","--","--"
