"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","3","75","2:09.9","2:09.9","2:53","2:04","59","118","134","46","15","19"
"","1.1","Rana","1","25","0:55.2","0:55.2","3:41","3:41","75","111","124","20","--","--"
"","1.2","Stile libero","1","25","0:43.8","1:38.9","2:55","2:55","59","115","124","15","--","--"
"","1.3","Stile libero","1","25","0:30.9","2:09.9","2:04","2:04","42","128","131","11","--","--"
"","","Riposo","0","0","0:07.0","2:16.9","0","0","0","133","134","0","0","0"
"","","Riposo","0","0","0:04.2","2:21.1","0","0","0","132","134","0","0","1"
"","","Riposo","0","0","0:39.7","3:00.8","0","0","0","115","129","0","0","6"
"","2","Misto","2","50","1:26.4","4:27.2","2:53","2:28","57","117","130","28","14","13"
"","2.1","Stile libero","1","25","0:49.3","0:49.3","3:17","3:17","65","109","119","16","--","--"
"","2.2","Rana","1","25","0:37.1","1:26.4","2:28","2:28","49","126","130","12","--","--"
"","","Riposo","0","0","0:08.3","4:35.5","0","0","0","128","129","0","0","1"
"","","Riposo","0","0","0:44.5","5:20.0","0","0","0","112","127","0","0","6"
"","","Riposo","0","0","0:57.8","6:17.9","0","0","0","110","127","0","0","8"
"","3","Stile libero","2","50","1:20.1","7:37.9","2:40","1:43","60","132","148","40","20","12"
"","3.1","Stile libero","1","25","0:25.7","0:25.7","1:43","1:43","39","127","134","13","--","--"
"","3.2","Stile libero","1","25","0:54.4","1:20.1","3:37","3:37","81","133","148","27","--","--"
"","","Riposo","0","0","0:07.5","7:45.4","0","0","0","128","129","0","0","0"
"","","Riposo","0","0","2:08.5","9:53.9","0","0","0","115","143","0","0","17"
"","4","Misto","2","50","1:01.0","10:55","2:02","1:06","40","137","142","19","10","11"
"","4.1","Rana","1","25","0:16.6","0:16.6","1:06","1:06","22","140","143","5","--","--"
"","4.2","Stile libero","1","25","0:44.4","1:01.0","2:58","2:58","58","135","142","14","--","--"
"","","Riposo","0","0","0:30.4","11:25","0","0","0","129","141","0","0","3"
"","5","Stile libero","4","100","2:26.7","13:52","2:27","2:06","50","138","153","53","13","26"
"","5.1","Stile libero","1","25","0:41.7","0:41.7","2:47","2:47","56","124","136","14","--","--"
"","5.2","Stile libero","1","25","0:31.4","1:13.1","2:06","2:06","43","130","133","12","--","--"
"","5.3","Stile libero","1","25","0:37.9","1:51.1","2:32","2:32","52","147","152","14","--","--"
"","5.4","Stile libero","1","25","0:35.6","2:26.7","2:22","2:22","49","151","153","13","--","--"
"","","Riposo","0","0","1:48.0","15:40","0","0","0","117","151","0","0","14"
"","6","Rana","1","25","0:35.1","16:15","2:20","2:20","45","136","142","10","10","5"
"","6.1","Rana","1","25","0:35.1","0:35.1","2:20","2:20","45","125","142","10","--","--"
"","","Riposo","0","0","0:27.8","16:43","0","0","0","134","142","0","0","6"
"","7","Dorso","1","25","0:34.4","17:17","2:18","2:18","45","142","154","11","11","7"
"","7.1","Dorso","1","25","0:34.4","0:34.4","2:18","2:18","45","132","141","11","--","--"
"","","Riposo","0","0","1:15.1","18:32","0","0","0","127","153","0","0","8"
"","8","Dorso","1","25","0:42.7","19:15","2:51","2:51","54","130","154","11","11","8"
"","8.1","Dorso","1","25","0:42.7","0:42.7","2:51","2:51","54","124","147","11","--","--"
"","","Riposo","0","0","0:20.3","19:35","0","0","0","152","153","0","0","3"
"","9","Dorso","1","25","0:40.6","20:16","2:43","2:43","56","155","158","15","15","9"
"","9.1","Dorso","1","25","0:40.6","0:40.6","2:43","2:43","56","155","158","15","--","--"
"","","Riposo","0","0","0:21.7","20:38","0","0","0","146","152","0","0","7"
"","10","Dorso","1","25","0:17.9","20:56","1:11","1:11","24","152","153","6","6","2"
"","10.1","Dorso","1","25","0:17.9","0:17.9","1:11","1:11","24","147","151","6","--","--"
"","","Riposo","0","0","0:29.2","21:25","0","0","0","150","156","0","0","7"
"","11","Misto","4","100","1:17.1","22:42","1:17","1:02","25","144","155","23","6","14"
"","11.1","Dorso","1","25","0:20.7","0:20.7","1:23","1:23","31","141","146","10","--","--"
"","11.2","Dorso","1","25","0:22.9","0:43.6","1:31","1:31","29","147","153","6","--","--"
"","11.3","Rana","1","25","0:15.6","0:59.1","1:02","1:02","20","153","155","4","--","--"
"","11.4","Dorso","1","25","0:17.9","1:17.1","1:12","1:12","21","140","147","3","--","--"
"","","Riposo","0","0","0:09.9","22:52","0","0","0","141","145","0","0","3"
"","12","Dorso","1","25","0:21.3","23:13","1:25","1:25","26","151","152","5","5","3"
"","12.1","Dorso","1","25","0:21.3","0:21.3","1:25","1:25","26","145","151","5","--","--"
"","","Riposo","0","0","0:20.2","23:33","0","0","0","143","151","0","0","5"
"","13","Dorso","2","50","0:49.2","24:22","1:38","1:36","33","151","157","16","8","9"
"","13.1","Dorso","1","25","0:24.1","0:24.1","1:36","1:36","33","138","145","9","--","--"
