"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","12:52","12:52","5.00","23.3","133","144","18","13","79","103","133","34.6","12:52","23.3"
"2","11:57","24:48","5.00","25.1","132","138","2","2","84","104","114","29.7","11:57","25.1"
"3","11:41","36:30","5.00","25.7","133","140","7","3","74","97","107","29.6","11:41","25.7"
"4","11:46","48:16","5.00","25.5","128","136","5","3","76","101","83","29.5","11:38","25.8"
"5","12:30","1:00:45","5.00","24.0","133","147","18","19","77","100","102","34.9","12:30","24.0"
"6","12:50","1:13:35","5.00","23.4","131","138","20","6","78","97","92","29.4","12:50","23.4"
"7","13:57","1:27:32","5.00","21.5","127","142","11","25","74","96","82","30.9","13:28","22.3"
"8","14:03","1:41:35","5.00","21.3","131","138","12","15","82","104","100","40.6","13:36","22.1"
"9","13:18","1:54:54","5.00","22.6","133","141","5","7","80","101","98","28.6","13:18","22.6"
"10","13:01","2:07:55","5.00","23.0","135","143","12","11","82","102","99","36.8","13:01","23.0"
"11","5:24.9","2:13:19","2.02","22.4","134","144","2","9","70","96","39","32.4","5:23","22.5"
"Riepilogo","2:13:19","2:13:19","52.02","23.4","132","147","111","113","78","104","1,050","40.6","2:12:13","23.6"
