"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 3","15:00","15:00","2.01","7:27","7:31","160","172","3","9","164","286","0.82","7.8","9.5","255","246","3.07","329","4.10","178","6:52","177","14:52","7:23"
"","","Riscaldamento","1","7:23.9","7:23.9","1.00","7:24","7:30","154","171","2","4","165","284","0.83","7.9","9.6","260","250","3.12","329","4.10","84","6:52","177","7:18","7:18"
"","","Riscaldamento","2","7:28.5","14:52","1.00","7:28","7:30","166","172","1","4","163","286","0.82","7.8","9.5","251","243","3.03","298","3.72","93","6:59","174","7:28","7:28"
"","","Riscaldamento","3","0:07.6","15:00","0.01","11:13","10:53","153","154","0","0","123","466","0.75","6.1","8.2","115","138","1.72","143","1.78","2","10:49","124","0:07.6","11:13"
"","1","Corsa","4","3:00","18:00","0.50","5:58","6:11","166","174","0","1","168","270","0.96","8.3","8.7","294","293","3.65","328","4.09","41","5:35","176","2:58","5:54"
"","2","Corsa","5","2:00","20:00","0.22","9:01","8:40","165","179","2","2","124","366","0.82","7.1","8.7","213","174","2.17","309","3.85","25","6:05","174","1:59","8:57"
"","3","Corsa","6","3:00","23:00","0.50","6:03","6:02","169","174","0","0","176","262","0.94","8.0","8.6","298","301","3.75","321","4.00","42","5:46","181","2:59","6:01"
"","4","Corsa","7","2:00","25:00","0.20","10:06","10:00","157","176","0","0","116","296","0.82","6.2","7.7","179","135","1.68","297","3.70","22","6:07","172","1:59","10:00"
"","5","Corsa","8","3:00","28:00","0.50","5:59","6:03","167","175","0","0","176","261","0.93","8.0","8.6","300","305","3.80","323","4.03","41","5:47","184","2:59","5:57"
"","6","Corsa","9","2:00","30:00","0.27","7:30","7:23","170","175","0","0","170","281","0.80","7.7","9.7","267","254","3.17","309","3.85","26","6:01","174","1:59","7:26"
"","7","Corsa","10","0:30","30:30","0.09","5:42","6:58","165","166","0","0","174","274","0.82","7.6","9.3","257","271","3.38","298","3.72","7","6:15","177","0:29","5:31"
"","8","Corsa","11","1:00","31:30","0.13","7:50","6:50","169","171","0","0","148","270","0.93","7.8","8.4","281","239","2.98","366","4.56","13","5:22","179","0:59","7:42"
"","9","Corsa","12","0:30","32:00","0.11","4:27","5:00","168","173","0","0","164","222","1.10","7.5","6.9","258","362","4.51","490","6.11","7","4:02","200","0:29","4:18"
"","10","Corsa","13","1:00","33:00","0.10","9:51","8:54","172","178","0","0","107","214","0.82","6.2","7.6","284","131","1.63","438","5.46","14","4:09","196","0:59","9:41"
"","11","Corsa","14","0:30","33:30","0.11","4:44","5:44","163","169","0","0","157","242","1.00","7.6","7.7","222","312","3.89","440","5.49","7","4:31","194","0:29","4:35"
"","12","Corsa","15","1:00","34:30","0.11","8:46","8:28","171","176","0","0","127","264","0.94","6.4","7.5","269","173","2.16","384","4.79","14","4:50","193","0:59","8:37"
"","13","Corsa","16","0:30","35:00","0.10","4:57","5:23","171","173","0","0","178","251","1.03","8.2","8.0","277","353","4.40","395","4.93","7","5:00","185","0:29","4:47"
"","14","Corsa","17","1:00","36:00","0.14","7:17","6:22","178","182","0","0","172","270","0.91","8.1","8.9","321","295","3.68","367","4.58","14","5:06","179","0:59","7:10"
"","15","Corsa","18","0:30","36:30","0.11","4:31","5:33","182","183","0","0","187","247","0.95","7.5","8.0","297","343","4.28","419","5.22","8","4:29","202","0:29","4:22"
"","16","Corsa","19","1:00","37:30","0.11","8:46","8:24","175","179","0","0","140","263","0.83","6.6","8.1","291","201","2.51","395","4.93","14","4:34","196","0:59","8:37"
"","","Defaticamento","20 - 23","19:00","56:30","2.74","6:57","6:55","172","176","13","3","168","281","0.86","8.1","9.4","276","277","3.45","348","4.34","243","5:47","178","19:00","6:57"
"","","Defaticamento","20","6:48.8","44:19","1.00","6:49","6:52","172","176","2","3","170","277","0.86","8.0","9.3","274","275","3.43","323","4.03","87","6:26","174","6:48.8","6:49"
"","","Defaticamento","21","7:00.8","51:20","1.00","7:01","6:54","172","175","3","0","167","283","0.87","8.2","9.5","275","275","3.43","348","4.34","89","5:47","178","7:00.8","7:01"
"","","Defaticamento","22","1:10.4","52:30","0.17","6:53","7:19","173","174","1","0","166","288","0.82","8.0","9.8","270","265","3.30","273","3.40","15","7:12","167","1:10","6:51"
"","","Defaticamento","23","4:00.3","56:30","0.56","7:05","6:55","173","176","7","0","166","285","0.86","8.2","9.6","282","285","3.55","344","4.29","51","6:41","169","3:59","7:03"
"","Riepilogo","--","--","56:30","56:30","8.05","7:01","7:03","167","183","19","15","162","280","0.87","7.8","9.1","272","259","3.23","490","6.11","722","4:02","202","56:21","7:00"
