"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1","5:00","5:00","0.81","6:11","6:24","129","154","0","6","165","273","0.96","8.5","8.9","261","267","3.61","329","4.45","50","24.0","5:29","172","4:56","6:06"
"","1","Corsa","2 - 5","20:00","25:00","3.21","6:14","6:14","161","172","7","5","169","273","0.95","8.5","9.0","281","281","3.80","402","5.43","236","21.0","5:30","174","20:00","6:14"
"","","Corsa","2","6:10.9","11:11","1.00","6:11","6:14","157","162","0","4","169","272","0.96","8.6","8.9","276","276","3.73","315","4.26","73","23.0","5:30","174","6:10.9","6:11"
"","","Corsa","3","6:07.0","17:18","1.00","6:07","6:08","163","172","0","1","169","271","0.96","8.6","8.9","283","283","3.82","298","4.03","73","22.0","6:00","174","6:07","6:07"
"","","Corsa","4","6:22.3","23:40","1.00","6:22","6:17","164","169","6","0","169","275","0.93","8.4","9.1","286","284","3.84","402","5.43","75","20.0","6:10","174","6:22.3","6:22"
"","","Corsa","5","1:19.8","25:00","0.21","6:20","6:26","162","164","1","0","170","275","0.92","8.3","9.1","274","274","3.70","285","3.85","15","19.0","6:20","174","1:19","6:16"
"","2","Corsa","6 - 8","15:00","40:00","2.42","6:13","6:12","164","171","8","9","169","272","0.95","8.5","8.9","286","283","3.82","406","5.49","178","18.0","5:56","176","14:59","6:12"
"","","Corsa","6","6:13.7","31:14","1.00","6:14","6:15","164","166","0","0","169","272","0.94","8.5","8.9","278","278","3.76","289","3.91","73","18.0","6:06","174","6:13.7","6:14"
"","","Corsa","7","6:10.6","37:24","1.00","6:11","6:08","164","171","7","9","170","271","0.96","8.5","8.9","294","290","3.92","406","5.49","73","18.0","5:56","176","6:10.6","6:11"
"","","Corsa","8","2:35.7","40:00","0.42","6:15","6:16","166","169","1","0","169","274","0.94","8.5","9.0","284","277","3.74","287","3.88","31","17.0","6:12","172","2:35","6:13"
"","","Defaticamento","9 - 13","27:03","1:07:03","4.60","5:53","5:53","168","174","3","5","171","266","0.99","8.6","8.6","299","299","4.04","327","4.42","328","16.0","5:27","177","27:02","5:53"
"","","Defaticamento","9","5:00","45:00","0.81","6:08","6:06","165","168","1","0","171","270","0.96","8.5","8.8","290","289","3.91","314","4.24","59","17.0","5:56","176","4:59","6:07"
"","","Defaticamento","10","5:54.0","50:54","1.00","5:54","5:58","168","171","1","4","171","266","0.98","8.5","8.7","292","292","3.95","318","4.30","71","16.0","5:41","177","5:54.0","5:54"
"","","Defaticamento","11","5:57.0","56:51","1.00","5:57","5:55","168","170","0","1","171","266","0.99","8.6","8.6","297","296","4.00","312","4.22","72","16.0","5:45","174","5:57","5:57"
"","","Defaticamento","12","5:47.6","1:02:39","1.00","5:48","5:48","168","171","0","0","172","264","1.00","8.6","8.6","303","303","4.09","315","4.26","71","16.0","5:41","176","5:47.6","5:48"
"","","Defaticamento","13","4:24.5","1:07:03","0.78","5:39","5:38","171","174","1","0","172","263","1.03","8.7","8.4","314","315","4.26","327","4.42","55","16.0","5:27","177","4:23","5:37"
"","Riepilogo","--","--","1:07:03","1:07:03","11.03","6:05","6:06","162","174","19","25","170","270","0.97","8.5","8.8","289","287","3.88","406","5.49","791","18.7","5:27","177","1:06:57","6:04"
