"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Potenza media","W/kg medio","Potenza max","W/kg massimo","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento","Perdita velocità di passo media","Percentuale perdita velocità di passo media"
"1","5:50.8","5:50.8","1.00","5:51","5:51","137","150","5","4","298","Nessun peso","351","Nessun peso","165","269","50.6% S / 49.4% D","1.04","10.7","10.1","62","28.0","5:25","172","5:50.8","5:51","--","--"
"2","5:47.0","11:38","1.00","5:47","5:52","149","153","1","6","295","Nessun peso","346","Nessun peso","165","269","50.3% S / 49.7% D","1.05","10.6","9.9","64","26.0","5:39","168","5:47.0","5:47","--","--"
"3","5:48.8","17:27","1.00","5:49","5:50","151","154","2","4","297","Nessun peso","339","Nessun peso","165","269","51.0% S / 49.0% D","1.05","10.7","10.0","66","25.0","5:36","167","5:48.8","5:49","--","--"
"4","5:59.8","23:26","1.00","6:00","5:59","152","158","8","8","296","Nessun peso","392","Nessun peso","160","277","51.0% S / 49.0% D","1.07","10.7","9.8","67","25.0","5:10","169","5:52","5:52","--","--"
"5","5:42.4","29:09","1.00","5:42","5:46","151","154","0","5","297","Nessun peso","334","Nessun peso","166","268","51.0% S / 49.0% D","1.06","10.6","9.8","64","25.0","5:35","168","5:42","5:42","--","--"
"6","5:07.5","34:16","1.00","5:08","5:06","158","162","3","3","335","Nessun peso","395","Nessun peso","170","254","51.0% S / 49.0% D","1.15","10.9","9.2","62","26.0","4:33","176","5:07.5","5:07","--","--"
"7","5:06.2","39:23","1.00","5:06","5:05","162","165","2","1","335","Nessun peso","353","Nessun peso","170","256","50.9% S / 49.1% D","1.15","11.0","9.3","63","26.0","5:00","172","5:06","5:06","--","--"
"8","5:12.0","44:35","1.00","5:12","5:12","163","167","4","6","334","Nessun peso","400","Nessun peso","170","256","51.0% S / 49.0% D","1.14","10.9","9.4","64","26.0","4:58","174","5:12.0","5:12","--","--"
"9","5:00.1","49:35","1.00","5:00","5:02","166","170","1","5","338","Nessun peso","354","Nessun peso","171","255","50.9% S / 49.1% D","1.17","10.7","8.9","63","26.0","4:54","174","5:00","5:00","--","--"
"10","5:03.4","54:38","1.00","5:03","5:02","167","170","3","1","339","Nessun peso","388","Nessun peso","170","255","51.0% S / 49.0% D","1.16","10.9","9.2","64","27.0","4:58","173","5:03","5:03","--","--"
"11","5:02.4","59:40","1.00","5:02","5:01","168","171","4","2","338","Nessun peso","370","Nessun peso","170","254","50.9% S / 49.1% D","1.17","11.1","9.2","64","27.0","4:57","172","5:02.4","5:02","--","--"
"12","5:13.5","1:04:54","1.00","5:13","5:09","168","172","2","0","337","Nessun peso","392","Nessun peso","169","256","51.0% S / 49.0% D","1.14","11.0","9.4","66","27.0","5:00","172","5:13","5:13","--","--"
"13","5:09.8","1:10:04","1.00","5:10","5:11","168","171","3","5","332","Nessun peso","381","Nessun peso","169","260","51.0% S / 49.0% D","1.15","10.8","9.2","65","28.0","4:58","173","5:09.8","5:10","--","--"
"14","5:10.6","1:15:14","1.00","5:11","5:09","170","174","9","9","333","Nessun peso","423","Nessun peso","169","259","50.9% S / 49.1% D","1.15","11.0","9.3","66","29.0","4:57","174","5:10.6","5:11","--","--"
"15","5:11.7","1:20:26","1.00","5:12","5:09","171","174","3","0","338","Nessun peso","371","Nessun peso","168","258","50.9% S / 49.1% D","1.15","11.1","9.5","66","29.0","5:02","171","5:11","5:11","--","--"
"16","5:14.8","1:25:41","1.00","5:15","5:14","172","174","2","5","331","Nessun peso","363","Nessun peso","167","261","50.9% S / 49.1% D","1.15","11.1","9.6","66","29.0","5:01","172","5:14.8","5:15","--","--"
"17","6:39.6","1:32:20","1.00","6:40","6:38","162","174","1","1","253","Nessun peso","335","Nessun peso","152","278","51.0% S / 49.0% D","0.98","9.9","9.9","68","30.0","5:08","168","6:39.6","6:40","--","--"
"18","6:02.4","1:38:23","1.00","6:02","5:58","165","170","9","5","294","Nessun peso","411","Nessun peso","159","270","50.9% S / 49.1% D","1.04","10.5","9.9","68","30.0","5:27","171","6:02","6:02","--","--"
"19","6:08.0","1:44:31","1.00","6:08","6:05","164","169","6","7","287","Nessun peso","390","Nessun peso","160","269","51.0% S / 49.0% D","1.02","10.7","10.3","67","29.0","5:36","170","6:08","6:08","--","--"
"20","6:05.0","1:50:36","1.00","6:05","6:08","164","172","9","13","288","Nessun peso","421","Nessun peso","158","293","51.0% S / 49.0% D","1.02","10.8","10.5","66","30.0","5:00","176","6:05","6:05","--","--"
"21","4:51.9","1:55:28","1.00","4:52","4:48","174","178","10","7","367","Nessun peso","451","Nessun peso","173","249","50.8% S / 49.2% D","1.19","11.0","9.0","63","29.0","4:41","177","4:51","4:51","--","--"
"22","0:00.4","1:55:28","0.00","5:01","4:44","178","178","0","0","384","Nessun peso","384","Nessun peso","171","253","50.7% S / 49.3% D","1.26","11.3","8.8","--","30.0","4:48","171","0:00.4","5:02","--","--"
"Riepilogo","1:55:28","1:55:28","21.00","5:30","5:29","162","178","87","97","315","Nessun peso","451","Nessun peso","165","264","50.9% S / 49.1% D","1.10","10.8","9.6","1,362","27.5","4:33","177","1:55:17","5:29","--","--"
