"Lap","Tempo","Tempo cumulato","Distanza
km","Passo medio
min/km","PRP medio
min/km","FC Media
bpm","FC max
bpm","Ascesa totale
m","Discesa totale
m","Potenza media
W","W/kg medio","Potenza max
W","W/kg massimo","Cadenza di corsa media
pam","Tempo medio di contatto con il suolo
ms","Media bilanciamento TCS
%","Lunghezza media passo
m","Oscillazione verticale media
cm","Rapporto verticale medio
%","Calorie
C","Temperatura med","Passo migliore
min/km","Cadenza di corsa max
pam","Tempo in movimento","Passo medio in movimento
min/km","Perdita velocità di passo media
cm/s","Percentuale perdita velocità di passo media
%"
"1","5:49.5","5:49.5","1.00","5:50","5:54","141","155","1","4","284","Nessun peso","334","Nessun peso","171","257","50.5% S / 49.5% D","1.01","9.5","9.4","67","26.0","4:58","175","5:49.5","5:50","--","--"
"2","5:35.3","11:25","1.00","5:35","5:39","156","161","2","9","293","Nessun peso","336","Nessun peso","174","255","50.5% S / 49.5% D","1.03","9.3","8.8","68","24.0","5:20","180","5:35","5:35","--","--"
"3","5:41.1","17:06","1.00","5:41","5:51","155","160","0","15","266","Nessun peso","303","Nessun peso","173","257","50.7% S / 49.3% D","1.02","9.3","8.9","68","23.0","5:22","175","5:41","5:41","--","--"
"4","5:34.3","22:40","1.00","5:34","5:31","157","163","9","4","295","Nessun peso","459","Nessun peso","172","256","51.0% S / 49.0% D","1.04","9.4","8.8","69","22.0","5:05","176","5:34.3","5:34","--","--"
"5","5:39.4","28:20","1.00","5:39","5:37","158","160","4","0","286","Nessun peso","339","Nessun peso","172","255","51.0% S / 49.0% D","1.02","9.5","9.0","69","22.0","5:32","174","5:39","5:39","--","--"
"6","5:39.3","33:59","1.00","5:39","5:38","158","160","2","0","282","Nessun peso","329","Nessun peso","172","260","51.1% S / 48.9% D","1.03","9.4","8.9","69","21.0","5:29","174","5:39.3","5:39","--","--"
"7","5:37.8","39:37","1.00","5:38","5:35","159","162","7","1","326","Nessun peso","354","Nessun peso","172","261","51.0% S / 49.0% D","1.03","9.4","8.9","69","20.0","5:29","177","5:37","5:37","--","--"
"8","5:37.1","45:14","1.00","5:37","5:32","159","162","12","10","322","Nessun peso","438","Nessun peso","171","259","51.0% S / 49.0% D","1.04","9.7","9.0","69","20.0","5:29","174","5:37","5:37","--","--"
"9","5:40.4","50:54","1.00","5:40","5:44","157","162","0","6","275","Nessun peso","320","Nessun peso","169","266","51.0% S / 49.0% D","1.04","9.6","9.0","68","20.0","5:07","173","5:40.4","5:40","--","--"
"10","5:38.0","56:32","1.00","5:38","5:39","157","160","4","2","287","Nessun peso","348","Nessun peso","170","267","51.1% S / 48.9% D","1.04","9.7","9.1","68","21.0","5:35","172","5:38","5:38","--","--"
"11","5:34.8","1:02:07","1.00","5:35","5:31","158","161","5","3","319","Nessun peso","381","Nessun peso","171","264","50.7% S / 49.3% D","1.05","9.7","9.0","68","21.0","5:25","175","5:34.8","5:35","--","--"
"12","5:34.6","1:07:42","1.00","5:35","5:34","157","160","6","6","302","Nessun peso","353","Nessun peso","170","262","50.7% S / 49.3% D","1.05","9.7","9.0","66","21.0","5:28","173","5:34","5:34","--","--"
"13","5:34.2","1:13:16","1.00","5:34","5:33","159","163","5","1","333","Nessun peso","388","Nessun peso","170","260","50.6% S / 49.4% D","1.05","9.8","9.1","68","20.0","5:23","174","5:34","5:34","--","--"
"14","5:38.8","1:18:55","1.00","5:39","5:37","158","160","9","12","323","Nessun peso","377","Nessun peso","170","264","50.6% S / 49.4% D","1.04","9.8","9.2","66","21.0","5:31","173","5:38.8","5:39","--","--"
"15","5:34.9","1:24:30","1.00","5:35","5:35","155","159","5","7","291","Nessun peso","393","Nessun peso","171","262","50.5% S / 49.5% D","1.05","9.5","8.9","63","20.0","5:29","175","5:34.9","5:35","--","--"
"16","5:29.5","1:29:59","1.00","5:29","5:29","156","160","0","2","291","Nessun peso","338","Nessun peso","171","260","50.8% S / 49.2% D","1.07","9.7","8.9","64","20.0","5:15","175","5:29.5","5:29","--","--"
"17","5:29.2","1:35:28","1.00","5:29","5:19","159","161","14","4","350","Nessun peso","443","Nessun peso","172","261","50.5% S / 49.5% D","1.06","9.6","8.9","67","20.0","5:23","176","5:29","5:29","--","--"
"18","5:26.6","1:40:55","1.00","5:27","5:27","160","163","12","10","331","Nessun peso","405","Nessun peso","172","260","50.5% S / 49.5% D","1.06","9.6","8.8","66","20.0","5:23","177","5:26.6","5:27","--","--"
"19","5:29.4","1:46:24","1.00","5:29","5:34","157","160","2","10","281","Nessun peso","329","Nessun peso","171","258","51.0% S / 49.0% D","1.06","9.5","8.8","63","21.0","5:24","177","5:29","5:29","--","--"
"20","5:28.0","1:51:52","1.00","5:28","5:30","158","160","0","3","288","Nessun peso","335","Nessun peso","171","260","51.1% S / 48.9% D","1.07","9.7","8.8","64","21.0","5:20","175","5:28.0","5:28","--","--"
"21","5:32.1","1:57:24","1.00","5:32","5:21","159","164","10","5","324","Nessun peso","462","Nessun peso","171","260","50.7% S / 49.3% D","1.06","9.7","8.9","66","21.0","5:21","174","5:32","5:32","--","--"
"22","5:33.3","2:02:58","1.00","5:33","5:29","158","161","9","9","303","Nessun peso","430","Nessun peso","171","262","50.4% S / 49.6% D","1.05","9.6","8.9","64","21.0","5:24","176","5:33","5:33","--","--"
"23","5:42.9","2:08:41","1.00","5:43","5:39","159","162","15","8","334","Nessun peso","399","Nessun peso","170","266","50.2% S / 49.8% D","1.02","9.5","9.1","66","21.0","5:39","173","5:42.9","5:43","--","--"
"24","5:42.5","2:14:23","1.00","5:43","5:49","159","163","2","7","307","Nessun peso","376","Nessun peso","171","263","50.1% S / 49.9% D","1.02","9.5","9.1","65","20.0","5:28","174","5:42.5","5:43","--","--"
"25","5:39.1","2:20:02","1.00","5:39","5:42","156","159","1","8","277","Nessun peso","308","Nessun peso","170","263","50.7% S / 49.3% D","1.04","9.7","9.1","61","21.0","5:29","173","5:39","5:39","--","--"
