"","Intervallo","Tipo di fase","Lap","Tempo","Tempo cumulato","Distanza","Passo medio","PRP medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza di corsa media","Tempo medio di contatto con il suolo","Media bilanciamento TCS","Lunghezza media passo","Oscillazione verticale media","Rapporto verticale medio","Normalized Power® (NP®)","Potenza media","W/kg medio","Potenza max","W/kg massimo","Calorie","Temperatura med","Passo migliore","Cadenza di corsa max","Tempo in movimento","Passo medio in movimento"
"","","Riscaldamento","1 - 2","10:46","10:46","2.00","5:23","5:24","151","168","10","10","180","248","50.4% S / 49.6% D","1.03","9.2","8.7","332","332","4.81","477","6.91","136","22.0","4:02","186","10:45","5:22"
"","","Riscaldamento","1","5:26.8","5:26.8","1.00","5:27","5:27","142","157","5","5","180","248","50.2% S / 49.8% D","1.02","9.1","8.8","334","332","4.81","477","6.91","66","23.0","4:02","186","5:26.8","5:27"
"","","Riscaldamento","2","5:19.7","10:46","1.00","5:20","5:20","160","168","5","6","180","247","50.6% S / 49.4% D","1.04","9.3","8.7","331","331","4.80","443","6.42","70","22.0","5:13","182","5:19.7","5:20"
"","1","Corsa","3 - 4","9:53.1","20:40","2.00","4:57","5:01","168","171","19","39","180","248","50.6% S / 49.4% D","1.12","9.3","8.1","332","328","4.75","475","6.88","137","22.0","4:36","183","9:52","4:56"
"","","Corsa","3","4:58.6","15:45","1.00","4:59","5:03","167","170","10","26","180","248","50.7% S / 49.3% D","1.11","9.3","8.1","331","323","4.68","475","6.88","68","22.0","4:40","183","4:58","4:58"
"","","Corsa","4","4:54.5","20:40","1.00","4:55","4:59","168","171","9","13","180","248","50.5% S / 49.5% D","1.13","9.3","8.0","334","332","4.81","407","5.90","68","22.0","4:36","182","4:54.5","4:55"
"","2","Corsa","5","5:28.9","26:08","1.00","5:29","5:26","166","171","11","9","180","250","50.7% S / 49.3% D","1.03","8.9","8.4","312","308","4.46","405","5.87","73","20.0","4:47","182","5:28","5:28"
"","3","Corsa","6 - 7","9:56.5","36:05","2.00","4:58","4:59","170","172","20","9","180","247","50.8% S / 49.2% D","1.11","9.4","8.2","373","372","5.39","593","8.59","139","16.0","4:48","183","9:55","4:57"
"","","Corsa","6","4:59.9","31:08","1.00","5:00","5:02","170","172","17","7","180","247","50.8% S / 49.2% D","1.11","9.3","8.2","379","376","5.45","593","8.59","70","16.0","4:52","182","4:59.9","5:00"
"","","Corsa","7","4:56.6","36:05","1.00","4:57","4:56","170","172","2","2","180","247","50.8% S / 49.2% D","1.12","9.4","8.2","367","367","5.32","408","5.91","69","15.0","4:48","183","4:56","4:56"
"","","Defaticamento","8 - 9","5:41.2","41:46","1.04","5:28","5:21","167","172","13","6","180","250","50.9% S / 49.1% D","1.02","8.9","8.5","343","337","4.88","469","6.80","76","15.0","4:47","183","5:40","5:27"
"","","Defaticamento","8","5:27.4","41:32","1.00","5:27","5:22","167","172","12","6","180","250","50.9% S / 49.1% D","1.02","8.9","8.6","343","335","4.86","469","6.80","73","15.0","4:47","183","5:27.4","5:27"
"","","Defaticamento","9","0:13.8","41:46","0.04","5:54","4:59","168","168","1","0","180","252","51.2% S / 48.8% D","1.03","8.6","8.2","323","370","5.36","399","5.78","3","15.0","5:18","181","0:12","5:08"
"","Riepilogo","--","--","41:46","41:46","8.04","5:12","5:12","164","172","74","73","180","248","50.7% S / 49.3% D","1.07","9.2","8.4","343","338","4.90","593","8.59","561","19.4","4:02","186","41:43","5:11"
