"Lap","Tempo","Tempo cumulato","Distanza","Passo medio","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza media","Calorie","Temperatura med","Passo migliore","Cadenza max","Tempo in movimento","Passo medio in movimento"
"1","10:30","10:30","1.00","10:31","94","102","21","0","108","65","24.0","6:17","176","9:56","9:56"
"2","10:39","21:09","1.00","10:39","75","89","4","2","113","57","18.0","9:01","124","10:33","10:33"
"3","10:52","32:01","1.00","10:52","76","91","6","6","110","57","16.0","9:59","130","10:33","10:33"
"4","10:44","42:45","1.00","10:44","72","76","1","6","111","56","16.0","10:31","118","10:44","10:44"
"5","11:50","54:35","1.00","11:50","93","121","1","15","101","61","19.0","7:30","167","9:55","9:55"
"6","10:41","1:05:16","1.00","10:41","86","96","12","7","112","59","24.0","9:15","128","10:41","10:41"
"7","10:25","1:15:42","1.00","10:25","81","88","10","1","113","58","25.0","9:59","120","10:25","10:25"
"8","10:39","1:26:21","1.00","10:39","94","101","14","0","113","61","19.0","10:12","118","10:39","10:39"
"9","10:53","1:37:13","1.00","10:53","92","99","0","5","111","56","17.0","10:31","117","10:53","10:53"
"10","11:15","1:48:28","1.00","11:15","91","101","0","20","109","54","20.0","10:12","115","11:14","11:14"
"11","11:40","2:00:08","1.00","11:40","87","94","14","11","106","58","27.0","9:18","122","11:40","11:40"
"12","11:38","2:11:46","1.00","11:38","89","94","6","1","103","57","29.0","11:27","113","11:38","11:38"
"13","11:48","2:23:34","1.00","11:48","88","94","17","11","99","59","24.0","10:42","115","11:48","11:48"
"14","12:45","2:36:19","1.00","12:45","88","94","1","14","89","55","26.0","9:39","121","12:34","12:34"
"15","12:42","2:49:01","1.00","12:42","81","95","11","3","95","59","26.0","11:54","125","12:38","12:38"
"16","2:32.9","2:51:34","0.20","12:32","80","85","1","0","100","12","25.0","12:04","118","2:32","12:28"
"Riepilogo","2:51:34","2:51:34","15.20","11:17","86","121","118","102","106","884","22.2","6:17","176","2:48:22","11:04"
