"Lap","Tempo","Tempo cumulato","Distanza km","Passo medio min/km","PRP medio min/km","FC Media bpm","FC max bpm","Ascesa totale m","Discesa totale m","Potenza media W","W/kg medio","Potenza max W","W/kg massimo","Cadenza di corsa media pam","Tempo medio di contatto con il suolo ms","Media bilanciamento TCS %","Lunghezza media passo m","Oscillazione verticale media cm","Rapporto verticale medio %","Calorie C","Temperatura med","Passo migliore min/km","Cadenza di corsa max pam","Tempo in movimento","Passo medio in movimento min/km","Perdita velocità di passo media cm/s","Percentuale perdita velocità di passo media %"
"1","6:20.2","6:20.2","1.00","6:20","6:12","136","144","11","4","286","4.14","356","5.16","171","265","50.8% S / 49.2% D","0.92","9.1","9.7","69","22.0","5:10","205","6:20","6:20","--","--"
"2","6:24.0","12:44","1.00","6:24","6:28","144","147","0","5","267","3.87","297","4.30","171","267","50.9% S / 49.1% D","0.91","8.9","9.5","70","18.0","6:05","175","6:24.0","6:24","--","--"
"3","6:25.3","19:09","1.00","6:25","6:26","144","148","0","2","267","3.87","295","4.28","172","268","50.8% S / 49.2% D","0.91","8.6","9.3","70","16.0","6:16","176","6:25","6:25","--","--"
"4","6:43.4","25:53","1.00","6:43","6:42","143","152","4","4","254","3.68","338","4.90","166","285","50.7% S / 49.3% D","0.90","8.6","9.4","71","16.0","6:23","173","6:43.4","6:43","--","--"
"5","6:31.3","32:24","1.00","6:31","6:33","144","147","0","1","257","3.72","273","3.96","172","269","50.6% S / 49.4% D","0.89","8.5","9.4","69","16.0","6:21","175","6:31","6:31","--","--"
"6","6:33.2","38:57","1.00","6:33","6:37","143","149","0","5","258","3.74","285","4.13","170","270","50.3% S / 49.7% D","0.90","8.9","9.7","69","17.0","6:23","176","6:33","6:33","--","--"
"7","6:37.2","45:35","1.00","6:37","6:42","144","148","1","8","257","3.72","310","4.49","169","269","50.5% S / 49.5% D","0.90","9.2","10.1","68","19.0","6:23","174","6:37","6:37","--","--"
"8","6:46.2","52:21","1.00","6:46","6:37","143","157","10","1","263","3.81","436","6.32","162","268","50.6% S / 49.4% D","0.93","8.7","9.3","70","20.0","4:06","233","6:24","6:24","--","--"
"9","6:28.9","58:50","1.00","6:29","6:29","144","148","3","4","268","3.88","321","4.65","170","268","50.6% S / 49.4% D","0.91","9.0","9.7","67","18.0","6:17","174","6:28.9","6:29","--","--"
"10","6:31.6","1:05:21","1.00","6:32","6:31","145","150","6","5","268","3.88","342","4.96","170","270","50.6% S / 49.4% D","0.90","9.0","9.7","69","18.0","5:57","185","6:31.6","6:32","--","--"
"11","6:30.1","1:11:51","1.00","6:30","6:32","144","147","1","2","264","3.83","342","4.96","171","266","50.8% S / 49.2% D","0.90","9.0","9.7","67","18.0","6:21","174","6:30","6:30","--","--"
"12","6:29.6","1:18:21","1.00","6:30","6:35","144","147","1","7","260","3.77","283","4.10","170","265","50.8% S / 49.2% D","0.90","9.1","9.8","65","20.0","6:06","173","6:29.6","6:30","--","--"
"13","6:33.7","1:24:55","1.00","6:34","6:28","145","148","6","2","270","3.91","328","4.75","170","270","50.7% S / 49.3% D","0.90","9.0","9.9","67","20.0","6:12","175","6:33","6:33","--","--"
"14","6:24.7","1:31:19","1.00","6:25","6:29","142","147","5","7","270","3.91","376","5.45","170","265","50.7% S / 49.3% D","0.91","9.3","10.0","64","22.0","5:40","173","6:24.7","6:25","--","--"
"15","6:25.7","1:37:45","1.00","6:26","6:26","144","151","4","7","263","3.81","353","5.12","170","271","50.5% S / 49.5% D","0.92","9.0","9.6","66","26.0","6:08","175","6:25.7","6:26","--","--"
"16","6:27.4","1:44:12","1.00","6:27","6:26","143","147","4","1","268","3.88","317","4.59","167","278","50.4% S / 49.6% D","0.92","9.1","9.7","69","26.0","6:07","174","6:27.4","6:27","--","--"
"17","6:23.3","1:50:36","1.00","6:23","6:18","146","149","3","0","275","3.99","322","4.67","169","268","50.4% S / 49.6% D","0.93","9.2","9.7","66","26.0","6:11","172","6:23","6:23","--","--"
