Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
REST,,,0.0,00:00:13.872,--,--,0.0,76.0,78.0,0,0.0,1
REST,,,0.0,00:00:18.063,--,--,0.0,81.0,87.0,0,0.0,1
1,MIXED,2,50.0,00:00:48.250,1:37,1:33,32.0,106.0,115.0,16,8.0,7
1.1,FREESTYLE,1,25.0,00:00:25.062,1:40,1:40,34.0,89.0,102.0,9,--,--
1.2,BACKSTROKE,1,25.0,00:00:23.188,1:33,1:33,30.0,107.0,114.0,7,--,--
REST,,,0.0,00:03:21.562,--,--,0.0,105.0,134.0,0,0.0,21
2,MIXED,2,50.0,00:01:16.688,2:33,2:06,50.0,129.0,151.0,24,12.0,12
2.1,FREESTYLE,1,25.0,00:00:31.500,2:06,2:06,44.0,95.0,110.0,12,--,--
2.2,BACKSTROKE,1,25.0,00:00:45.188,3:01,3:01,57.0,134.0,151.0,12,--,--
REST,,,0.0,00:00:29.438,--,--,0.0,138.0,147.0,0,0.0,5
3,MIXED,2,50.0,00:01:27.500,2:55,2:18,56.0,145.0,153.0,24,12.0,17
3.1,FREESTYLE,1,25.0,00:00:34.562,2:18,2:18,50.0,138.0,147.0,15,--,--
3.2,BACKSTROKE,1,25.0,00:00:52.938,3:32,3:32,62.0,145.0,153.0,9,--,--
REST,,,0.0,00:02:44.312,--,--,0.0,106.0,151.0,0,0.0,16
4,FREESTYLE,2,50.0,00:01:12.750,2:26,2:24,49.0,127.0,147.0,25,12.5,10
4.1,FREESTYLE,1,25.0,00:00:35.937,2:24,2:24,49.0,108.0,126.0,13,--,--
4.2,FREESTYLE,1,25.0,00:00:36.813,2:27,2:27,49.0,134.0,145.0,12,--,--
REST,,,0.0,00:00:12.438,--,--,0.0,147.0,148.0,0,0.0,4
5,FREESTYLE,2,50.0,00:01:41.125,3:22,3:15,67.0,146.0,160.0,33,16.5,19
5.1,FREESTYLE,1,25.0,00:00:48.625,3:15,3:15,66.0,153.0,160.0,17,--,--
5.2,FREESTYLE,1,25.0,00:00:52.500,3:30,3:30,69.0,142.0,158.0,16,--,--
REST,,,0.0,00:03:14.062,--,--,0.0,96.0,129.0,0,0.0,12
6,FREESTYLE,2,50.0,00:01:13.938,2:28,2:26,52.0,130.0,146.0,30,15.0,11
6.1,FREESTYLE,1,25.0,00:00:36.625,2:26,2:26,56.0,109.0,126.0,19,--,--
6.2,FREESTYLE,1,25.0,00:00:37.313,2:29,2:29,48.0,137.0,146.0,11,--,--
