Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:05.270,00:06:05.000,1,5,7,0:06:05  ,0:06:05  ,0:04:54  ,174.15625,177.0,94.74000244140626,133.0,143.0,29,67
2,00:05:56.716,00:05:56.000,1,4,4,0:05:56  ,0:05:56  ,0:05:48  ,174.46875,177.0,96.62999877929688,140.0,144.0,26,69
3,00:05:50.279,00:05:50.279,1,3,8,0:05:50  ,0:05:50  ,0:05:22  ,175.375,178.0,97.85999755859376,140.0,145.0,24,69
4,00:05:51.106,00:05:51.000,1,6,1,0:05:51  ,0:05:51  ,0:05:36  ,176.453125,182.0,97.27000122070314,141.0,144.0,24,69
5,00:05:51.437,00:05:51.000,1,1,4,0:05:51  ,0:05:51  ,0:05:41  ,176.015625,178.0,97.34000244140626,142.0,145.0,24,68
6,00:05:54.818,00:05:54.818,1,7,8,0:05:54  ,0:05:54  ,0:05:41  ,175.75,181.0,96.87000122070313,143.0,148.0,24,68
7,00:06:01.957,00:06:01.957,1,1,4,0:06:01  ,0:06:01  ,0:05:52  ,175.34375,177.0,95.22999877929688,144.0,148.0,25,69
8,00:06:03.022,00:06:03.000,1,9,4,0:06:02  ,0:06:03  ,0:05:25  ,174.15625,179.0,94.84000244140626,146.0,151.0,24,71
9,00:06:11.215,00:06:11.000,1,6,3,0:06:11  ,0:06:11  ,0:05:57  ,173.390625,178.0,93.15,144.0,148.0,24,69
10,00:06:09.392,00:06:09.392,1,0,1,0:06:09  ,0:06:09  ,0:06:02  ,173.953125,176.0,93.02000122070314,144.0,147.0,23,68
11,00:06:11.472,00:06:11.000,1,1,2,0:06:11  ,0:06:11  ,0:06:03  ,173.265625,176.0,92.9,144.0,147.0,23,67
12,00:06:11.062,00:06:11.000,1,4,4,0:06:11  ,0:06:11  ,0:05:59  ,173.140625,177.0,93.7,145.0,147.0,24,68
13,00:06:25.343,00:06:25.343,1,3,8,0:06:25  ,0:06:25  ,0:05:55  ,168.65625,176.0,92.64000244140625,143.0,148.0,24,66
14,00:06:20.715,00:06:20.000,1,3,3,0:06:20  ,0:06:20  ,0:05:50  ,172.34375,176.0,92.35000000000001,143.0,146.0,24,67
15,00:06:25.982,00:06:25.000,1,11,0,0:06:25  ,0:06:25  ,0:05:16  ,171.3125,174.0,90.89000244140625,143.0,148.0,25,67
16,00:00:41.191,00:00:40.000,0.11,3,0,0:06:28  ,0:06:17  ,0:06:26  ,170.125,172.0,90.60000000000001,144.0,147.0,25,7
Summary,01:32:10.977,01:32:05.789,15.11,67,61,0:06:06  ,0:06:05  ,0:04:54  ,173.765625,182.0,94.54000244140626,142.0,151.0,24.47,1027
