"Lap","Tempo","Tempo cumulato","Distanza","Velocità media","FC Media","FC max","Ascesa totale","Discesa totale","Cadenza pedalata media","Cadenza pedalata max","Calorie","Velocità max","Tempo in movimento","Velocità media in movimento"
"1","10:42","10:42","5.00","28.0","121","140","23","60","73","104","98","44.7","10:41","28.1"
"2","9:46.6","20:29","5.00","30.7","126","139","4","11","80","91","91","43.7","9:46.6","30.7"
"3","10:10","30:39","5.00","29.5","128","149","22","30","82","113","92","44.6","10:10","29.5"
"4","9:37.5","40:16","5.00","31.2","136","150","14","19","84","106","96","38.3","9:37","31.2"
"5","10:12","50:28","5.00","29.4","130","149","33","33","82","113","82","38.0","10:12","29.4"
"6","10:21","1:00:50","5.00","29.0","129","138","9","13","83","101","77","33.0","10:21","29.0"
"7","10:52","1:11:42","5.00","27.6","127","147","28","15","82","110","72","32.8","10:50","27.7"
"8","12:46","1:24:28","5.00","23.5","131","144","27","16","77","110","122","31.5","12:37","23.8"
"9","10:27","1:34:55","5.00","28.7","137","145","6","21","88","105","107","31.8","10:26","28.8"
"10","10:14","1:45:09","5.00","29.3","143","153","24","14","91","110","115","32.3","10:14","29.3"
"11","10:10","1:55:19","5.00","29.5","150","155","25","22","91","104","125","32.0","10:10","29.5"
"12","10:49","2:06:08","5.00","27.7","148","158","24","30","91","116","124","34.1","10:26","28.8"
"13","10:26","2:16:34","5.00","28.7","147","158","46","36","86","107","113","45.0","10:26","28.7"
"14","10:59","2:27:33","5.00","27.3","147","155","37","31","84","109","118","35.9","10:58","27.4"
"15","10:33","2:38:06","5.00","28.5","147","156","36","21","81","105","102","40.6","10:33","28.5"
"16","10:57","2:49:02","5.00","27.4","147","158","21","25","87","113","102","32.1","10:48","27.8"
"17","4:39.7","2:53:42","1.27","16.4","151","163","39","2","75","107","48","30.1","4:39","16.5"
"Riepilogo","2:53:42","2:53:42","81.27","28.1","137","163","419","402","84","116","1,684","45.0","2:52:55","28.2"
