"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","4","100","2:49.1","2:49.1","2:49","2:16","55","108","132","50","13","21"
"","1.1","Stile libero","1","25","0:34.1","0:34.1","2:16","2:16","44","79","92","10","--","--"
"","1.2","Rana","1","25","0:49.9","1:23.9","3:20","3:20","71","96","101","21","--","--"
"","1.3","Stile libero","1","25","0:37.4","2:01.3","2:29","2:29","48","120","131","11","--","--"
"","1.4","Dorso","1","25","0:47.7","2:49.1","3:11","3:11","56","126","132","8","--","--"
"","","Riposo","0","0","0:21","3:10.1","0","0","0","122","127","0","0","3"
"","2","Rana","1","25","0:45.1","3:55.1","3:00","3:00","66","119","121","21","21","6"
"","2.1","Rana","1","25","0:45.1","0:45.1","3:00","3:00","66","119","124","21","--","--"
"","","Riposo","0","0","1:48.8","5:43.9","0","0","0","96","114","0","0","10"
"","3","Stile libero","1","25","0:45.1","6:29.0","3:01","3:01","55","108","111","10","10","4"
"","3.1","Stile libero","1","25","0:45.1","0:45.1","3:01","3:01","55","108","111","10","--","--"
"","","Riposo","0","0","0:51.3","7:20.2","0","0","0","99","106","0","0","5"
"","4","Stile libero","1","25","0:37.9","7:58.2","2:32","2:32","49","125","137","11","11","5"
"","4.1","Stile libero","1","25","0:37.9","0:37.9","2:32","2:32","49","114","130","11","--","--"
"","","Riposo","0","0","2:57.7","10:56","0","0","0","83","136","0","0","10"
"","5","Stile libero","1","25","0:29.1","11:25","1:57","1:57","40","98","107","11","11","2"
"","5.1","Stile libero","1","25","0:29.1","0:29.1","1:57","1:57","40","88","104","11","--","--"
"","","Riposo","0","0","1:17.4","12:42","0","0","0","109","122","0","0","8"
"","6","Misto","2","50","0:27.8","13:10","0:56","0:14","19","128","135","11","6","6"
"","6.1","Dorso","1","25","0:03.5","0:03.5","0:14","0:14","8","119","119","4","--","--"
"","6.2","Stile libero","1","25","0:24.3","0:27.8","1:37","1:37","31","124","134","7","--","--"
"","","Riposo","0","0","1:08.1","14:18","0","0","0","95","120","0","0","5"
"","7","Stile libero","2","50","1:14.7","15:33","2:29","1:45","50","105","131","25","13","6"
"","7.1","Stile libero","1","25","0:26.4","0:26.4","1:45","1:45","34","91","101","8","--","--"
