Tempo intermedio,Stile,Vasche,Distanza,Tempo,Passo medio,Passo migliore,SWOLF medio,Frequenza cardiaca media,FC max,Totale bracciate,Bracciate medie,Calorie
1,MIXED,5,125.0,00:04:08.997,3:19,2:36,68.0,114.0,136.0,93,18.600000381469727,34
1.1,FREESTYLE,1,25.0,00:01:09.812,4:39,4:39,100.0,94.0,119.0,30,--,--
1.2,BREASTSTROKE,1,25.0,00:00:43.437,2:54,2:54,60.0,120.0,129.0,17,--,--
1.3,BREASTSTROKE,1,25.0,00:00:45.625,3:02,3:02,65.0,125.0,127.0,19,--,--
1.4,BACKSTROKE,1,25.0,00:00:39.125,2:36,2:36,52.0,123.0,125.0,13,--,--
1.5,BACKSTROKE,1,25.0,00:00:50.998,3:24,3:24,65.0,118.0,136.0,14,--,--
REST,,,0.0,00:01:03.438,--,--,0.0,114.0,124.0,0,0.0,8
REST,,,0.0,00:00:06.249,--,--,0.0,122.0,122.0,0,4.0,1
REST,,,0.0,00:00:22.750,--,--,0.0,127.0,130.0,0,0.0,2
2,MIXED,2,50.0,00:00:45.688,1:31,1:07,30.0,124.0,140.0,15,7.5,9
2.1,FREESTYLE,1,25.0,00:00:16.812,1:07,1:07,25.0,135.0,140.0,8,--,--
2.2,BREASTSTROKE,1,25.0,00:00:28.876,1:55,1:55,36.0,121.0,137.0,7,--,--
REST,,,0.0,00:00:21.313,--,--,0.0,126.0,131.0,0,0.0,4
3,FREESTYLE,1,25.0,00:00:50.187,3:21,3:21,66.0,133.0,144.0,16,16.0,7
3.1,FREESTYLE,1,25.0,00:00:50.187,3:21,3:21,66.0,129.0,143.0,16,--,--
REST,,,0.0,00:00:56.063,--,--,0.0,121.0,144.0,0,0.0,9
4,BREASTSTROKE,1,25.0,00:00:17.500,1:10,1:10,24.0,109.0,111.0,6,6.0,2
4.1,BREASTSTROKE,1,25.0,00:00:17.500,1:10,1:10,24.0,106.0,109.0,6,--,--
REST,,,0.0,00:00:32.937,--,--,0.0,117.0,123.0,0,0.0,1
REST,,,0.0,00:00:13.250,--,--,0.0,136.0,154.0,0,7.0,4
REST,,,0.0,00:01:05.375,--,--,0.0,134.0,153.0,0,0.0,11
5,MIXED,2,50.0,00:01:00.626,2:01,1:23,38.0,135.0,152.0,15,7.5,10
5.1,BREASTSTROKE,1,25.0,00:00:20.687,1:23,1:23,26.0,125.0,128.0,5,--,--
5.2,FREESTYLE,1,25.0,00:00:39.939,2:40,2:40,50.0,135.0,152.0,10,--,--
REST,,,0.0,00:00:42.437,--,--,0.0,133.0,148.0,0,0.0,8
6,MIXED,10,250.0,00:05:24.375,2:10,1:03,43.0,143.0,162.0,110,11.0,61
6.1,FREESTYLE,1,25.0,00:00:32.125,2:09,2:09,47.0,133.0,148.0,15,--,--
6.2,FREESTYLE,1,25.0,00:00:34.625,2:19,2:19,49.0,147.0,149.0,14,--,--
6.3,FREESTYLE,1,25.0,00:00:39.750,2:39,2:39,56.0,143.0,147.0,16,--,--
6.4,BACKSTROKE,1,25.0,00:00:45.937,3:04,3:04,59.0,136.0,143.0,13,--,--
6.5,BREASTSTROKE,1,25.0,00:00:15.812,1:03,1:03,20.0,120.0,123.0,4,--,--
6.6,FREESTYLE,1,25.0,00:00:29.000,1:56,1:56,39.0,128.0,139.0,10,--,--
6.7,FREESTYLE,1,25.0,00:00:32.561,2:10,2:10,46.0,144.0,153.0,13,--,--
6.8,BREASTSTROKE,1,25.0,00:00:17.437,1:10,1:10,21.0,151.0,154.0,4,--,--
6.9,FREESTYLE,1,25.0,00:00:26.937,1:48,1:48,38.0,144.0,149.0,11,--,--
6.10,BACKSTROKE,1,25.0,00:00:50.190,3:21,3:21,60.0,156.0,162.0,10,--,--
REST,,,0.0,00:01:59.375,--,--,0.0,131.0,154.0,0,0.0,17
7,MIXED,2,50.0,00:00:56.126,1:52,1:05,36.0,149.0,157.0,15,7.5,12
7.1,BREASTSTROKE,1,25.0,00:00:16.187,1:05,1:05,21.0,147.0,154.0,5,--,--
7.2,BACKSTROKE,1,25.0,00:00:39.939,2:40,2:40,50.0,150.0,157.0,10,--,--
REST,,,0.0,00:01:05.437,--,--,0.0,146.0,154.0,0,0.0,12
8,MIXED,3,75.0,00:01:00.375,1:21,1:03,26.0,150.0,159.0,17,5.699999809265137,12
8.1,BREASTSTROKE,1,25.0,00:00:15.875,1:03,1:03,21.0,152.0,154.0,5,--,--
8.2,BACKSTROKE,1,25.0,00:00:24.875,1:40,1:40,32.0,151.0,157.0,7,--,--
8.3,BACKSTROKE,1,25.0,00:00:19.625,1:18,1:18,25.0,148.0,150.0,5,--,--
REST,,,0.0,00:00:42.688,--,--,0.0,131.0,147.0,0,0.0,7
9,BREASTSTROKE,3,75.0,00:02:54.563,3:53,2:00,86.0,127.0,133.0,84,28.0,22
9.1,BREASTSTROKE,1,25.0,00:00:30.125,2:00,2:00,47.0,127.0,130.0,17,--,--
9.2,BREASTSTROKE,1,25.0,00:01:38.187,6:32,6:32,145.0,128.0,133.0,47,--,--
9.3,BREASTSTROKE,1,25.0,00:00:46.251,3:05,3:05,66.0,123.0,127.0,20,--,--
REST,,,0.0,00:00:57.437,--,--,0.0,115.0,126.0,0,0.0,5
10,MIXED,7,175.0,00:04:21.813,2:30,1:33,52.0,140.0,161.0,100,14.300000190734863,46
10.1,BACKSTROKE,1,25.0,00:00:26.875,1:48,1:48,36.0,121.0,127.0,9,--,--
10.2,BREASTSTROKE,1,25.0,00:00:45.187,3:01,3:01,65.0,139.0,146.0,20,--,--
10.3,FREESTYLE,1,25.0,00:00:35.187,2:21,2:21,53.0,144.0,145.0,18,--,--
