Tempo intermedio,Tempo,Tempo in movimento,Distanza,Aumento di altitudine,Perdita quota,Passo medio,Passo medio in movimento,Passo migliore,Ritmo di corsa media,Ritmo di corsa max,Lunghezza media passo,Frequenza cardiaca media,FC max,Temperatura med,Calorie
1,00:06:15.187,00:06:15.000,1,9,2,0:06:15  ,0:06:15  ,0:05:54  ,174.28125,177.0,91.64000244140625,133.0,141.0,29,68
2,00:06:13.428,00:06:13.428,1,0,10,0:06:13  ,0:06:13  ,0:06:02  ,174.59375,177.0,91.54000244140626,139.0,143.0,28,68
3,00:06:09.227,00:06:09.000,1,11,9,0:06:09  ,0:06:09  ,0:05:18  ,172.65625,189.0,94.35000000000001,144.0,152.0,27,72
4,00:06:16.268,00:06:16.000,1,1,1,0:06:16  ,0:06:16  ,0:06:10  ,172.921875,177.0,91.55000000000001,141.0,148.0,27,69
5,00:06:13.294,00:06:13.000,1,2,1,0:06:13  ,0:06:12  ,0:06:00  ,172.78125,175.0,92.84000244140626,143.0,147.0,26,69
6,00:05:58.962,00:05:58.962,1,7,0,0:05:58  ,0:05:58  ,0:05:11  ,173.84375,176.0,95.80000000000001,145.0,149.0,26,69
7,00:05:59.843,00:05:59.843,1,1,0,0:05:59  ,0:05:59  ,0:05:51  ,174.265625,177.0,95.75,146.0,148.0,26,68
8,00:05:52.694,00:05:52.000,1,4,16,0:05:52  ,0:05:52  ,0:04:44  ,172.875,178.0,99.09000244140626,147.0,153.0,26,66
9,00:05:59.244,00:05:59.244,1,3,0,0:05:59  ,0:05:59  ,0:05:20  ,172.53125,177.0,96.34000244140626,148.0,155.0,26,70
10,00:05:56.965,00:05:56.965,1,8,0,0:05:56  ,0:05:56  ,0:05:43  ,172.90625,176.0,96.62000122070313,146.0,149.0,26,67
11,00:05:38.986,00:05:38.986,1,10,1,0:05:38  ,0:05:38  ,0:05:00  ,173.859375,177.0,100.97000122070312,148.0,152.0,26,67
12,00:05:42.089,00:05:42.000,1,2,0,0:05:42  ,0:05:42  ,0:05:31  ,172.8125,174.0,101.55000000000001,150.0,152.0,26,67
13,00:05:37.572,00:05:37.000,1,0,16,0:05:37  ,0:05:37  ,0:04:54  ,172.625,182.0,102.65999755859376,151.0,154.0,26,66
14,00:05:47.805,00:05:47.805,1,9,1,0:05:47  ,0:05:47  ,0:05:02  ,171.421875,176.0,100.67000122070313,152.0,156.0,27,70
15,00:05:39.698,00:05:39.698,1,0,7,0:05:39  ,0:05:39  ,0:05:25  ,172.125,175.0,102.59000244140626,153.0,154.0,27,67
16,00:05:23.250,00:05:23.000,1,2,2,0:05:23  ,0:05:23  ,0:04:18  ,173.90625,176.0,106.3300048828125,152.0,157.0,27,65
17,00:05:22.756,00:05:22.756,1,0,2,0:05:22  ,0:05:22  ,0:05:19  ,174.4375,176.0,105.65,154.0,156.0,27,64
18,00:05:25.383,00:05:25.000,1,0,1,0:05:25  ,0:05:25  ,0:05:13  ,173.546875,177.0,106.3800048828125,156.0,158.0,27,65
19,00:05:37.926,00:05:37.926,1,9,9,0:05:37  ,0:05:37  ,0:04:35  ,170.15625,175.0,103.69000244140625,158.0,164.0,27,68
20,00:05:24.002,00:05:24.000,1,2,0,0:05:23  ,0:05:23  ,0:05:15  ,172.765625,175.0,106.35999755859376,160.0,163.0,27,67
21,00:05:08.534,00:05:08.534,1,7,0,0:05:08  ,0:05:08  ,0:04:33  ,174.46875,178.0,111.6199951171875,159.0,165.0,28,66
22,00:05:17.132,00:05:17.000,1,4,0,0:05:17  ,0:05:16  ,0:05:11  ,173.984375,177.0,108.99000244140626,162.0,164.0,27,67
23,00:00:04.019,00:00:02.000,0.01,0,0,0:05:55  ,0:02:57  ,0:05:21  ,168.5,170.0,88.9,145.0,162.0,28,1
24,00:06:24.089,00:06:24.089,1,4,6,0:06:24  ,0:06:24  ,0:05:55  ,168.40625,171.0,92.15999755859376,148.0,153.0,29,66
25,00:06:27.296,00:06:27.000,1,15,3,0:06:27  ,0:06:27  ,0:05:37  ,165.234375,171.0,94.67999877929688,146.0,150.0,29,69
26,00:06:18.269,00:06:18.000,1,1,0,0:06:18  ,0:06:18  ,0:06:06  ,167.734375,169.0,94.32999877929689,151.0,154.0,28,65
27,00:06:04.903,00:06:04.903,1,8,1,0:06:04  ,0:06:04  ,0:05:15  ,169.8125,174.0,96.15,150.0,154.0,29,67
28,00:05:52.705,00:05:52.000,1,10,3,0:05:52  ,0:05:51  ,0:05:36  ,170.703125,173.0,98.95999755859376,152.0,158.0,28,67
29,00:00:48.798,00:00:48.000,0.14,0,1,0:05:54  ,0:05:48  ,0:05:52  ,169.671875,171.0,98.62999877929688,157.0,158.0,28,9
Summary,02:39:00.325,02:38:53.139,27.15,129,94,0:05:51  ,0:05:51  ,0:04:18  ,172.203125,189.0,98.87999877929688,149.0,165.0,27.14,1830
