"","Ripetute","Stile","Vasche","Distanza","Tempo","Tempo cumulato","Passo medio","Passo migliore","Swolf medio","FC Media","FC max","Totale bracciate","Bracciate medie","Calorie"
"","1","Misto","4","100","2:21.7","2:21.7","2:22","1:37","47","120","145","46","12","21"
"","1.1","Stile libero","1","25","0:24.1","0:24.1","1:37","1:37","32","95","99","8","--","--"
"","1.2","Rana","1","25","0:30.6","0:54.8","2:03","2:03","43","112","123","12","--","--"
"","1.3","Stile libero","1","25","0:42.9","1:37.7","2:52","2:52","56","120","127","13","--","--"
"","1.4","Stile libero","1","25","0:44.0","2:21.7","2:56","2:56","57","136","145","13","--","--"
"","","Riposo","0","0","2:55.1","5:16.8","0","0","0","108","134","0","0","20"
"","2","Misto","2","50","0:49.7","6:06.5","1:39","1:20","34","140","145","19","10","10"
"","2.1","Rana","1","25","0:20","0:20","1:20","1:20","29","130","135","9","--","--"
"","2.2","Dorso","1","25","0:29.7","0:49.7","1:59","1:59","40","140","145","10","--","--"
"","","Riposo","0","0","1:11.7","7:18.2","0","0","0","118","136","0","0","9"
"","3","Misto","3","75","1:29.0","8:47.2","1:59","1:20","41","134","149","34","11","16"
"","3.1","Rana","1","25","0:19.9","0:19.9","1:20","1:20","30","118","122","10","--","--"
"","3.2","Dorso","1","25","0:41.2","1:01.1","2:45","2:45","55","131","141","14","--","--"
"","3.3","Rana","1","25","0:27.9","1:29.0","1:51","1:51","38","144","149","10","--","--"
"","","Riposo","0","0","2:29.3","11:16","0","0","0","103","135","0","0","13"
"","4","Rana","1","25","0:10.9","11:27","0:43","0:43","16","111","119","5","5","1"
"","4.1","Rana","1","25","0:10.9","0:10.9","0:43","0:43","16","101","104","5","--","--"
"","","Riposo","0","0","3:03.1","14:30","0","0","0","106","120","0","0","17"
"","5","Stile libero","2","50","1:03.8","15:34","2:08","2:03","44","126","137","25","13","11"
"","5.1","Stile libero","1","25","0:32.9","0:32.9","2:12","2:12","48","106","125","15","--","--"
"","5.2","Stile libero","1","25","0:30.9","1:03.8","2:03","2:03","41","128","131","10","--","--"
"","","Riposo","0","0","1:32.2","17:06","0","0","0","103","135","0","0","8"
"","6","Rana","1","25","0:50.9","17:57","3:24","3:24","66","108","133","15","15","5"
"","6.1","Rana","1","25","0:50.9","0:50.9","3:24","3:24","66","93","115","15","--","--"
"","","Riposo","0","0","0:14.4","18:12","0","0","0","131","132","0","0","2"
"","7","Dorso","1","25","0:40.1","18:52","2:40","2:40","50","133","141","10","10","8"
"","7.1","Dorso","1","25","0:40.1","0:40.1","2:40","2:40","50","131","133","10","--","--"
"","","Riposo","0","0","2:03.3","20:55","0","0","0","104","141","0","0","10"
"","8","Dorso","1","25","0:13.4","21:08","0:54","0:54","16","103","106","3","3","1"
"","8.1","Dorso","1","25","0:13.4","0:13.4","0:54","0:54","16","94","100","3","--","--"
"","","Riposo","0","0","0:17.4","21:26","0","0","0","109","111","0","0","1"
"","9","Dorso","1","25","0:20.3","21:46","1:21","1:21","26","114","119","6","6","3"
"","9.1","Dorso","1","25","0:20.3","0:20.3","1:21","1:21","26","113","115","6","--","--"
"","","Riposo","0","0","0:14","22:00","0","0","0","128","132","0","0","2"
"","10","Dorso","1","25","0:46.9","22:47","3:08","3:08","62","132","136","15","15","7"
"","10.1","Dorso","1","25","0:46.9","0:46.9","3:08","3:08","62","130","132","15","--","--"
"","","Riposo","0","0","0:26.3","23:13","0","0","0","121","132","0","0","4"
